DSName,HANN15,HANN100,SNN,DENN
nursery,99.75,99.91,99.78,100.0
oocytes-merluccius-nucleus-4d,86.27,83.14,82.35,83.91999999999999
oocytes-merluccius-states-2f,92.16,92.55,95.28999999999999,92.94
oocytes-trisopterus-nucleus-2f,81.14,82.02,79.82000000000001,82.46
oocytes-trisopterus-states-5b,93.86,96.05,93.42,94.74000000000001
optical,93.1,95.94,97.11,96.38
ozone,96.53,95.58,97.0,97.48
page-blocks,96.49,96.13,95.83,96.13000000000001
parkinsons,87.76,89.8,89.8,85.71
pendigits,94.4,97.11,97.06,97.37
pima,71.88,73.44,75.52,69.78999999999999
pittsburg-bridges-MATERIAL,88.46,92.31,88.46000000000001,92.31
pittsburg-bridges-REL-L,76.92,73.08,69.23,73.08
pittsburg-bridges-SPAN,60.87,69.57,69.57,73.91
pittsburg-bridges-T-OR-D,84.0,84.0,84.0,84.0
pittsburg-bridges-TYPE,65.38,65.38,65.38000000000001,57.69
planning,66.67,55.56,68.89,60.0
plant-margin,50.5,79.5,81.25,83.25
plant-shape,39.0,66.5,72.75,72.5
plant-texture,51.75,75.25,81.25,81.0
post-operative,40.91,63.64,72.72999999999999,68.17999999999999
primary-tumor,54.88,47.56,52.44,53.66
ringnorm,90.43,85.35,97.50999999999999,97.57000000000001
seeds,92.31,96.15,88.46000000000001,92.31
semeion,74.37,92.71,91.96,96.73
soybean,77.93,88.83,85.11,88.03
spambase,93.57,94.17,94.08999999999999,94.87
spect,62.9,63.44,63.980000000000004,62.370000000000005
spectf,91.98,91.98,49.730000000000004,89.3
statlog-australian-credit,65.12,63.37,59.88,61.050000000000004
statlog-german-credit,72.4,72.4,75.6,72.0
statlog-heart,85.07,91.04,92.54,92.54
statlog-image,95.15,96.88,95.49,97.75
statlog-landsat,87.55,89.25,91.0,89.9
statlog-shuttle,99.92,99.92,99.9,99.91
statlog-vehicle,78.67,77.25,80.08999999999999,81.04
steel-plates,73.61,76.49,78.35,77.53
synthetic-control,94.0,98.0,98.67,99.33
teaching,57.89,57.89,50.0,57.89
thyroid,98.37,98.25,98.16,98.22
tic-tac-toe,96.65,97.07,96.65,98.33
titanic,78.73,78.73,78.36,78.73
trains,100.0,50.0,,
twonorm,97.3,98.27,98.05,98.16
vertebral-column-2clases,88.31,85.71,83.12,85.71
vertebral-column-3clases,81.82,80.52,83.12,80.52
wall-following,92.45,94.79,90.98,91.86
waveform,85.84,84.0,84.8,83.91999999999999
waveform-noise,84.72,84.96,86.08,84.32
wine,97.73,100.0,97.72999999999999,100.0
wine-quality-red,62.5,65.0,63.0,63.5
wine-quality-white,54.82,61.03,63.73,62.25000000000001
yeast,59.03,60.65,63.07000000000001,58.220000000000006
zoo,96.0,96.0,92.0,100.0
